Clusters,Covariance Type,GMM Time (sec),GMM Silhouette Score,GMM VRC,GMM Davies-Bouldin Index,GMM AIC,GMM BIC,GMM Log-Likelihood Score
2,full,0.8320584297180176,0.3126659884096324,3826.2708643680376,1.6616663964791456,175792.17097143145,176773.42240896073,-6.632289389081517
2,tied,0.9065721035003662,0.5615330662757209,3249.6394700095434,1.1871552058068426,238626.16453721537,239195.44018036211,-9.010585828505077
2,diag,0.37885594367980957,0.27733738251467055,3925.6658326241563,1.5788832188199884,250755.24235980766,251062.35158834734,-9.471519774798143
2,spherical,0.35872507095336914,0.361058928808596,4251.156831577916,1.5938822892334255,290885.6104980609,291057.89128480264,-10.989178965391856
3,full,1.169281244277954,0.18500672823841602,2639.1390977172655,2.124289264502622,152656.97878736703,154132.6011781553,-5.753154189804543
3,tied,0.8248953819274902,0.3480964003891739,3513.567734107213,1.4609753635060876,234490.59541364346,235142.26621566672,-8.85349487696076
3,diag,0.7981452941894531,0.15782631131658834,3186.1194661800414,1.8057311540236751,222569.4812918544,223033.89036915833,-8.404952818403023
3,spherical,0.44130969047546387,0.2142558372171742,3630.882775014932,1.6791015593923406,266013.83402261644,266276.0004372235,-10.048508804602752
4,full,1.8026707172393799,0.1743905355333578,2410.1785881968094,2.5813847122182207,145552.53934213327,147522.53268618058,-5.479730195047732
4,tied,2.2786595821380615,0.29734865592994714,2719.1371568873506,1.8742721544596879,228946.66926640045,229680.7352273002,-8.643190103015206
4,diag,0.9723799228668213,0.11735742728362204,2486.7550785534486,1.9764246697373538,203246.7581223585,203868.46704842665,-7.67326978471845
4,spherical,1.1321685314178467,0.14497469771067079,3036.173478575645,1.7750743015400563,252972.5700612332,253324.6221037055,-9.554846597945787
5,full,2.279738664627075,0.1002873999324307,2154.5263024164074,2.3574045862147988,139979.3305231735,142443.69482047984,-5.264162719080084
5,tied,1.0946803092956543,0.32016222447674547,2787.9078071219033,1.3898957294934235,226915.75078287223,227732.2119026485,-8.565621959603726
5,diag,0.849639892578125,0.0709442165816212,2076.581786798644,2.2019302444194664,193205.06607205604,193984.07484688843,-7.292264266306055
5,spherical,0.5971159934997559,0.16596714700477924,2758.9164799863097,1.6928554002922638,244673.7387207662,245115.67639110383,-9.240374016502917
6,full,2.8738231658935547,0.09213779291956774,1893.9693600077107,2.2692027268486346,136844.13449502926,139802.86974559462,-5.14071391577984
6,tied,1.3246846199035645,0.15813331551960486,2356.772562470276,1.8481829791973896,219689.26266103642,220588.1189396892,-8.29174271370953
6,diag,1.1796503067016602,0.07332470266886547,1923.994430594001,2.307734669728277,186091.12903434393,187027.43765794055,-7.021882000844251
6,spherical,0.9840562343597412,0.17306600107005052,2426.2153608201306,1.695785856981172,241359.1164062427,241890.9397044456,-9.114226419037358
7,full,3.2882649898529053,0.09518678750890898,1785.214733435697,2.3606907102449637,135356.14601869107,138809.25222251544,-5.079503741354609
7,tied,2.070526599884033,0.16110023586055888,2250.248331028342,1.7006910236467676,216979.16750581548,217960.41894334476,-8.18851233680252
7,diag,1.5181190967559814,0.04173279205186608,1692.0815062536544,2.5806729964374613,180470.71460836683,181564.32308072769,-6.807931482217443
7,spherical,1.1701586246490479,0.13916185125623268,2216.5715473669547,1.8674744258210894,238010.1276461926,238631.83657226074,-8.986780308554092
8,full,3.409235715866089,0.02695252308289803,1517.3192878864318,2.8562986865333366,130694.14424499388,134641.62140207726,-4.898365610405572
8,tied,2.6904027462005615,0.164996892014112,2062.7674134450926,1.7312303281463224,213362.49989047222,214426.146486878,-8.05102772955763
8,diag,1.7993533611297607,0.04178632747695315,1492.2956654299046,2.691952163324399,177306.2553775734,178557.1636986985,-6.686777577932948
8,spherical,1.0487244129180908,0.1225982935441824,1944.765382734705,1.735272819958117,232496.2531787405,233207.84773267395,-8.777535448452372
9,full,6.465185642242432,0.04787080560574212,1606.5349466081695,2.252850955824488,129021.50092276324,133463.34903310565,-4.830178376889717
9,tied,2.73506760597229,0.16930544622638807,2072.837917965667,1.4460729039527953,211627.35220173854,212773.39395702083,-7.9846350865917985
9,diag,2.3315987586975098,0.025055797008518826,1360.0063386269828,2.7857262208724296,173821.56712841018,175229.77529829953,-6.553524035683903
9,spherical,0.7790641784667969,0.1653343319565861,2382.894479118096,1.7196392040359794,233871.57349731616,234673.05367911488,-8.828594177333793
10,full,6.2639076709747314,0.07759397917741864,1652.926622319766,2.18436301942195,127296.7966212491,132233.01568485054,-4.76002405430549
10,tied,3.823639154434204,0.17012970888451112,1938.6246769938382,1.4077062739503474,209182.73910438985,210411.17601854863,-7.891435770588297
10,diag,3.2448859214782715,0.03231751604334815,1257.9800333800872,2.9353637337925647,171289.8781676867,172855.38618634027,-6.456278930238295
10,spherical,2.877403974533081,0.11196296005563343,1724.3373547903452,1.7622620075193631,227959.76244726975,228851.12825693373,-8.60431355124574
